host,round,request,offset_micros,send_at_us,receive_at_us,rtt_us,server_unix_s
http://66.42.121.170?q=12066485428456313630,1,1,-200000,1776992254799999,1776992254857102,57103,1776992254
http://66.42.121.170?q=14130793618186229191,1,2,-155556,1776992254844443,1776992254925217,80774,1776992254
http://66.42.121.170?q=13697382590773364908,1,3,-111112,1776992254888887,1776992254938801,49914,1776992254
http://66.42.121.170?q=7972247949703072999,1,4,-66668,1776992254933339,1776992254979304,45965,1776992254
http://66.42.121.170?q=17897876011830398349,1,5,-22224,1776992254977776,1776992255114130,136354,1776992255
http://66.42.121.170?q=1952846556419412871,1,6,22220,1776992255022220,1776992255068099,45879,1776992255
http://66.42.121.170?q=9210318564384942652,1,7,66664,1776992255066664,1776992255113142,46478,1776992255
http://66.42.121.170?q=595610214542080471,1,8,111108,1776992255111108,1776992255159182,48074,1776992255
http://66.42.121.170?q=5970525847267253561,1,9,155552,1776992255155552,1776992255202062,46510,1776992255
http://66.42.121.170?q=7971658286687222171,1,10,199996,1776992255199995,1776992255260112,60117,1776992255
http://66.42.121.170?q=18135375968342722147,2,1,-144446,1776992255855554,1776992255915305,59751,1776992255
http://66.42.121.170?q=4697214979486450215,2,2,-122224,1776992255877776,1776992255932140,54364,1776992255
http://66.42.121.170?q=14002107092147761620,2,3,-100002,1776992255899998,1776992255945853,45855,1776992255
http://66.42.121.170?q=6079869038803763281,2,4,-77780,1776992255922220,1776992255967989,45769,1776992255
http://66.42.121.170?q=836800875107458139,2,5,-55558,1776992255944442,1776992256018222,73780,1776992256
http://66.42.121.170?q=2429931548121296999,2,6,-33336,1776992255966664,1776992256014273,47609,1776992256
http://66.42.121.170?q=16428767456298120405,2,7,-11114,1776992255988886,1776992256041861,52975,1776992256
http://66.42.121.170?q=18252155158213926175,2,8,11108,1776992256011108,1776992256103969,92861,1776992256
http://66.42.121.170?q=16595539203608247187,2,9,33330,1776992256033330,1776992256093147,59817,1776992256
http://66.42.121.170?q=5533672114122937306,2,10,55552,1776992256055552,1776992256132051,76499,1776992256
http://66.42.121.170?q=17787003409671365278,3,1,-116669,1776992256883623,1776992256929762,46139,1776992256
http://66.42.121.170?q=3597726641472774720,3,2,-105558,1776992256894442,1776992256940603,46161,1776992256
http://66.42.121.170?q=8411023562934657694,3,3,-94447,1776992256905724,1776992256952255,46531,1776992256
http://66.42.121.170?q=8129954102894983542,3,4,-83336,1776992256916663,1776992256980208,63545,1776992256
http://66.42.121.170?q=15105367119819862862,3,5,-72225,1776992256927775,1776992256978999,51224,1776992256
http://66.42.121.170?q=5277653218332905314,3,6,-61114,1776992256938885,1776992256995671,56786,1776992257
http://66.42.121.170?q=17247672113784254946,3,7,-50003,1776992256949997,1776992256996438,46441,1776992257
http://66.42.121.170?q=5320691863158483225,3,8,-38892,1776992256961107,1776992257014886,53779,1776992257
http://66.42.121.170?q=576138473087614455,3,9,-27781,1776992256972219,1776992257018149,45930,1776992257
http://66.42.121.170?q=7563655119444127194,3,10,-16670,1776992256983329,1776992257029976,46647,1776992257
http://66.42.121.170?q=15849275123931600204,4,1,-91669,1776992257908638,1776992257958170,49532,1776992257
http://66.42.121.170?q=13426537922479604393,4,2,-86114,1776992257913887,1776992257959758,45871,1776992257
http://66.42.121.170?q=1289162596345852722,4,3,-80559,1776992257919441,1776992257975400,55959,1776992257
http://66.42.121.170?q=2889348608975034600,4,4,-75004,1776992257924996,1776992257977871,52875,1776992257
http://66.42.121.170?q=11652554173918987193,4,5,-69449,1776992257930551,1776992257976769,46218,1776992257
http://66.42.121.170?q=17457652186024565848,4,6,-63894,1776992257936106,1776992257981894,45788,1776992258
http://66.42.121.170?q=4209922005770078091,4,7,-58339,1776992257941661,1776992257993222,51561,1776992258
http://66.42.121.170?q=9034353016379446437,4,8,-52784,1776992257947216,1776992257992953,45737,1776992258
http://66.42.121.170?q=264508916979582080,4,9,-47229,1776992257952771,1776992258004187,51416,1776992258
http://66.42.121.170?q=6878043616475422579,4,10,-41674,1776992257958326,1776992258006150,47824,1776992258
http://66.42.121.170?q=567512428911154121,5,1,-79171,1776992258920828,1776992259004921,84093,1776992259
http://66.42.121.170?q=8321451694040793682,5,2,-76394,1776992258923605,1776992258969375,45770,1776992258
http://66.42.121.170?q=17938654277600668254,5,3,-73617,1776992258926674,1776992258972526,45852,1776992258
http://66.42.121.170?q=9958683444999378130,5,4,-70840,1776992258929425,1776992258975133,45708,1776992258
http://66.42.121.170?q=2953151112001902837,5,5,-68063,1776992258931937,1776992258977503,45566,1776992258
http://66.42.121.170?q=6236453445840898945,5,6,-65286,1776992258934714,1776992259019200,84486,1776992259
http://66.42.121.170?q=14898779262678048763,5,7,-62509,1776992258937491,1776992258984193,46702,1776992259
http://66.42.121.170?q=8298017967995451877,5,8,-59732,1776992258940268,1776992258985717,45449,1776992259
http://66.42.121.170?q=2132118550784181999,5,9,-56955,1776992258943044,1776992258989174,46130,1776992259
http://66.42.121.170?q=17689780634468931202,5,10,-54178,1776992258945821,1776992258992140,46319,1776992259
